id,codigo,nombre,tipo,horario,anclajes_t,long,lat,BARRIO,COMUNA
"90","94",094 - GÚZMAN,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30",-58.45,-34.592,CHACARITA,15.00000000000
"95","101",101 - Fitz Roy,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.442,-34.589,CHACARITA,15.00000000000
"97","104",104 - Federico Lacroze,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30",-58.455,-34.588,CHACARITA,15.00000000000
"201","243",243 - PLAZOLETA CELEDONIO FLORES,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12",-58.452,-34.582,CHACARITA,15.00000000000
"283","213",213 - Hospital Alvear,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.474,-34.597,PATERNAL,15.00000000000
"350","278",278 - Donato Alvarez,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.466,-34.602,PATERNAL,15.00000000000
"94","99",099 - Malabia,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.435,-34.596,VILLA CRESPO,15.00000000000
"136","158",158 - VILLARROEL,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.445,-34.593,VILLA CRESPO,15.00000000000
"184","129",129 - Velasco,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.435,-34.6,VILLA CRESPO,15.00000000000
"185","136",136 - Acevedo,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.443,-34.6,VILLA CRESPO,15.00000000000
"203","384",384 - PLAZA BENITO NAZAR,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.446,-34.605,VILLA CRESPO,15.00000000000
"289","285",285 - ESPINOSA,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.457,-34.604,VILLA CRESPO,15.00000000000
"299","100",100 - Plaza Gurruchaga,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.435,-34.593,VILLA CRESPO,15.00000000000
"212","348",348 - Villa del Parque,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12",-58.494,-34.601,VILLA DEL PARQUE,11.00000000000
"345","204",204 - Biarritz,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.477,-34.605,VILLA DEL PARQUE,11.00000000000
"348","268",268 - Plaza Aristóbulo Del Valle,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.493,-34.606,VILLA DEL PARQUE,11.00000000000
"16","17",017 - Plaza Almagro,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.419,-34.606,ALMAGRO,5.00000000000
"51","54",054 - Acuña de Figueroa,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.422,-34.598,ALMAGRO,5.00000000000
"78","82",082 - HOSPITAL ITALIANO,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.426,-34.608,ALMAGRO,5.00000000000
"111","121",121 - YATAY,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.429,-34.601,ALMAGRO,5.00000000000
"120","134",134 - DON BOSCO,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.417,-34.612,ALMAGRO,5.00000000000
"137","161",161 - Humahuaca,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.42,-34.602,ALMAGRO,5.00000000000
"168","194",194 - PERÓN Y ACUÑA DE FIGUEROA,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.422,-34.606,ALMAGRO,5.00000000000
"171","197",197 - Quintino Bocayuva,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.423,-34.613,ALMAGRO,5.00000000000
"177","167",167 - Hipólito Yrigoyen,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24",-58.428,-34.615,ALMAGRO,5.00000000000
"27","29",029 - Parque Centenario,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30",-58.434,-34.608,CABALLITO,6.00000000000
"70","74",074 - INSTITUTO  LELOIR,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30",-58.435,-34.604,CABALLITO,6.00000000000
"76","80",080 - DOBLAS,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.43,-34.624,CABALLITO,6.00000000000
"83","87",087 - Guayaquil,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.431,-34.62,CABALLITO,6.00000000000
"143","275",275 - PLAZA 24 DE SEPTIEMBRE,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.449,-34.607,CABALLITO,6.00000000000
"199","188",188 - Aranguren,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.433,-34.61,CABALLITO,6.00000000000
"224","276",276 - PRIMERA JUNTA,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.442,-34.621,CABALLITO,6.00000000000
"225","374",374 - Puan,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.449,-34.622,CABALLITO,6.00000000000
"231","272",272 - Plaza Bruno Giordano,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.441,-34.616,CABALLITO,6.00000000000
"242","223",223 - GAINZA,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.447,-34.617,CABALLITO,6.00000000000
"250","350",350 - Plaza Irlanda,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24",-58.458,-34.614,CABALLITO,6.00000000000
"287","205",205 - SAN MARTIN,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.453,-34.606,CABALLITO,6.00000000000
"393","187",187 - Jose Maria Moreno,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.436,-34.62,CABALLITO,6.00000000000
"310","218",218 - Campana,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.484,-34.617,VILLA SANTA RITA,11.00000000000
"233","270",270 - PLAZA DEL ANGEL GRIS,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12",-58.458,-34.622,FLORES,7.00000000000
"235","361",361 - Plaza Don Segundo Sombra,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16",-58.451,-34.642,FLORES,7.00000000000
"270","365",365 - Venancio Flores,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.474,-34.63,FLORES,7.00000000000
"271","221",221 - CULPINA,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.466,-34.632,FLORES,7.00000000000
"327","354",354 - Plaza Tupac Amaru,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"28",-58.462,-34.642,FLORES,7.00000000000
"335","322",322 - MARTÍ Y DIRECTORIO,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12",-58.47,-34.636,FLORES,7.00000000000
"341","215",215 - HOSPITAL ALVAREZ,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20",-58.468,-34.623,FLORES,7.00000000000
"405","352",352 - San Jose de Flores,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24",-58.463,-34.629,FLORES,7.00000000000
